[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:30:25,641] (train_model:DEBUG) {'epoch': 26, 'batch_loss': 0.3600257635116577, 'ce_loss': 0.3548692464828491, 'reg_loss': 5156.501953125}
[2023-05-22 23:30:39,170] (train_model:DEBUG) {'epoch': 26, 'batch_loss': 0.4103025496006012, 'ce_loss': 0.4051227271556854, 'reg_loss': 5179.83251953125}
[2023-05-22 23:30:52,706] (train_model:DEBUG) {'epoch': 26, 'batch_loss': 0.2577129304409027, 'ce_loss': 0.25297290086746216, 'reg_loss': 4740.02099609375}
[2023-05-22 23:31:06,648] (train_model:DEBUG) {'epoch': 27, 'batch_loss': 0.45396119356155396, 'ce_loss': 0.4493257403373718, 'reg_loss': 4635.46484375}
[2023-05-22 23:31:20,183] (train_model:DEBUG) {'epoch': 27, 'batch_loss': 0.32243669033050537, 'ce_loss': 0.3178069591522217, 'reg_loss': 4629.74267578125}
[2023-05-22 23:31:33,704] (train_model:DEBUG) {'epoch': 27, 'batch_loss': 0.35568514466285706, 'ce_loss': 0.35043132305145264, 'reg_loss': 5253.8193359375}
[2023-05-22 23:31:47,224] (train_model:DEBUG) {'epoch': 27, 'batch_loss': 0.42516815662384033, 'ce_loss': 0.42086851596832275, 'reg_loss': 4299.6513671875}
[2023-05-22 23:32:01,180] (train_model:DEBUG) {'epoch': 28, 'batch_loss': 0.26759278774261475, 'ce_loss': 0.26317381858825684, 'reg_loss': 4418.97900390625}
[2023-05-22 23:32:14,713] (train_model:DEBUG) {'epoch': 28, 'batch_loss': 0.4487607777118683, 'ce_loss': 0.4440983533859253, 'reg_loss': 4662.4326171875}
[2023-05-22 23:32:28,244] (train_model:DEBUG) {'epoch': 28, 'batch_loss': 0.32512155175209045, 'ce_loss': 0.32015761733055115, 'reg_loss': 4963.927734375}
[2023-05-22 23:32:41,778] (train_model:DEBUG) {'epoch': 28, 'batch_loss': 0.3484633266925812, 'ce_loss': 0.3441369831562042, 'reg_loss': 4326.35009765625}
[2023-05-22 23:32:55,830] (train_model:DEBUG) {'epoch': 29, 'batch_loss': 0.35541805624961853, 'ce_loss': 0.3506070673465729, 'reg_loss': 4810.98779296875}
[2023-05-22 23:33:09,362] (train_model:DEBUG) {'epoch': 29, 'batch_loss': 0.38240861892700195, 'ce_loss': 0.37770769000053406, 'reg_loss': 4700.943359375}
[2023-05-22 23:33:22,887] (train_model:DEBUG) {'epoch': 29, 'batch_loss': 0.3833525776863098, 'ce_loss': 0.37907224893569946, 'reg_loss': 4280.32470703125}
[2023-05-22 23:33:36,419] (train_model:DEBUG) {'epoch': 29, 'batch_loss': 0.4410429894924164, 'ce_loss': 0.4355246126651764, 'reg_loss': 5518.365234375}
[2023-05-22 23:33:52,920] (main:DEBUG) {'epoch': 29, 'acc': 0.8059999942779541, 'avg_nll': 0.622530460357666, 'avg_ent': 0.37923502922058105}
[2023-05-22 23:33:52,943] (full_eval_model:INFO) Computing train metrics...
[2023-05-22 23:34:09,154] (full_eval_model:DEBUG) {'acc': 0.8293399810791016, 'sel_acc': 95.75238037109375, 'avg_nll': 0.5208178162574768, 'avg_ent': 0.4027270972728729, 'ece': 0.03188052207065615}
[2023-05-22 23:34:09,154] (full_eval_model:INFO) Computing test metrics...
[2023-05-22 23:34:19,169] (full_eval_model:DEBUG) {'acc': 0.8059999942779541, 'sel_acc': 94.66487121582031, 'avg_nll': 0.622530460357666, 'avg_ent': 0.37923502922058105, 'ece': 0.06118154802578007}
[2023-05-22 23:34:20,945] (train_model:DEBUG) {'epoch': 30, 'batch_loss': 0.3369138240814209, 'ce_loss': 0.33226490020751953, 'reg_loss': 4648.9150390625}
[2023-05-22 23:34:34,355] (train_model:DEBUG) {'epoch': 30, 'batch_loss': 0.3223041296005249, 'ce_loss': 0.31752946972846985, 'reg_loss': 4774.65576171875}
[2023-05-22 23:34:47,775] (train_model:DEBUG) {'epoch': 30, 'batch_loss': 0.3153861165046692, 'ce_loss': 0.31067538261413574, 'reg_loss': 4710.73828125}
[2023-05-22 23:35:01,212] (train_model:DEBUG) {'epoch': 30, 'batch_loss': 0.35668841004371643, 'ce_loss': 0.35114967823028564, 'reg_loss': 5538.72314453125}
[2023-05-22 23:35:15,157] (train_model:DEBUG) {'epoch': 31, 'batch_loss': 0.32799020409584045, 'ce_loss': 0.3235020637512207, 'reg_loss': 4488.154296875}
